도로코드,보행안전지수,accident_count,mapped_link_count
2264,-11.95432976,0,3
2265,-10.04895679,0,2
2266,-14.82198571,0,5
2267,-8.773540562,1,5
2268,-14.55606771,1,3
2269,-3.856228155,0,5
2270,-14.59959637,1,6
2271,-13.50471913,1,2
2272,-13.01412288,2,1
2273,-13.54425375,5,5
2274,-14.16100408,4,4
2275,-13.56103947,6,5
2276,-14.4311657,0,2
2277,-8.166625792,0,1
2278,-13.05460155,1,3
2279,-13.80639167,0,5
2280,-11.07377218,0,2
2281,-14.87218874,0,3
2282,-3.992232121,0,3
2283,-6.237092204,1,4
2284,-10.13447098,4,5
2285,-10.46731254,3,7
2286,-11.15843472,0,4
2287,1.559524375,1,4
2288,-3.227779213,1,5
2289,-10.76591874,0,4
2290,-6.021043547,1,4
2291,-13.16364392,2,11
2292,-9.541922305,0,3
2293,-11.64394025,4,5
2294,-9.550251136,3,3
2295,-11.72275338,1,4
2296,-11.97520777,3,6
2297,-5.594325582,2,8
2298,-10.31770723,0,4
2299,-11.90295772,3,3
2300,-12.05379205,1,3
2301,-16.93935655,0,3
2302,-15.37251201,0,2
2303,-15.83561151,1,4
2304,-11.06884093,3,3
2305,-15.88193684,0,5
2306,-14.23189388,0,7
2307,-10.25585886,0,4
2308,-9.25845997,14,6
2309,-13.37024513,14,4
2310,-13.41309804,0,1
2311,-9.51220262,1,6
2312,-14.17108045,3,4
2313,-13.34236211,1,2
2314,-14.20895118,2,4
2315,-13.43336521,3,6
2316,-13.6965609,2,4
2317,0.56218826,4,10
2318,-7.929709303,0,4
2319,-2.448021071,0,5
2320,1.582851581,1,2
2322,-5.205329387,2,4
2323,-14.53748349,0,3
2324,-14.74010956,0,3
2325,-15.07908008,0,2
2326,-15.04962924,0,4
2327,-13.84060259,2,3
2331,5.942760192,0,3
2333,1.556787896,0,2
2334,7.594408896,3,1
2335,-4.963074764,0,3
2336,-7.897892186,0,4
2337,-4.078869341,0,5
2338,-0.054199774,0,5
2339,6.614057192,1,4
2340,-3.808702672,1,5
2341,-4.522440016,0,3
2342,5.023180279,1,4
2343,16.13635904,0,3
2344,-5.689947788,0,1
2345,-8.487595093,0,5
2346,-11.57979033,0,3
2347,-3.098217187,0,8
2348,-13.35919362,1,5
2349,-14.1057175,2,4
2350,-14.02124268,2,5
2351,-5.834652553,2,3
2352,-7.48780622,0,2
2353,-13.42254151,0,4
2354,-10.10817724,2,2
2355,-13.45628889,1,2
2356,-14.62684195,0,6
2357,-12.16374324,0,1
2358,-13.35097451,0,1
2359,-13.545412,0,1
2364,-5.984581145,0,2
2365,8.068744944,0,1
2366,-7.758888431,0,1
2368,-12.41819872,0,2
2370,-9.247626646,0,1
2371,-9.920281377,0,1
2372,-14.03885349,0,1
2373,-6.96247749,0,3
2374,-14.54870481,2,2
2375,-15.03597264,0,1
2376,-15.13603192,0,1
2377,-12.0860795,0,1
2378,-13.32219249,1,6
2379,-14.23126929,2,6
2380,-14.20910068,5,3
2381,-13.42694663,3,3
2382,-10.96248514,2,1
2383,-13.00218215,1,3
2384,-12.54954559,2,3
2385,-12.66133742,1,4
2386,-14.26566037,6,8
2387,-11.70496025,1,4
2388,3.443444589,0,2
2389,7.471273582,0,2
2390,9.013983062,0,1
2391,-13.73516772,0,1
2392,-9.142883977,0,2
2393,-7.412191384,2,3
2394,-14.39574444,0,1
2395,-13.39804577,0,4
2396,-13.38001351,6,2
2397,-9.911821466,0,4
2398,-12.80910943,2,2
2399,-10.13219359,5,3
2400,-6.175733419,0,1
2401,-14.04875437,3,4
2402,-11.13922361,0,2
2403,5.196115246,0,2
2404,-12.5232153,0,1
2405,-12.69638579,1,3
2406,-2.363568663,1,1
2407,0.307493328,0,0
2408,-5.260538437,0,2
2409,-5.239911325,4,0
2410,-3.964676989,0,0
2411,-13.93753029,0,0
2412,-13.73175321,0,0
2413,-9.424256875,0,0
2414,-14.60717042,0,0
3001,21.41939775,0,0
3002,-2.581560234,0,0
3003,-13.2861517,0,0
3005,-6.886589807,4,1
